calDate,connectionStream,adCost,campaignId,clicksCounter,impressionsCounter
2021-10-18 00:00:00.000000 UTC,4580834090943463925.google_ads,13.95,-6046553957937071741,63.0,8021.0
2021-10-17 00:00:00.000000 UTC,4580834090943463925.google_ads,3.43,-6046553957937071741,17.0,3269.0
2021-10-23 00:00:00.000000 UTC,4580834090943463925.google_ads,8.46,-6046553957937071741,47.0,4675.0
2021-10-28 00:00:00.000000 UTC,4580834090943463925.google_ads,5.86,-6046553957937071741,30.0,6745.0
2021-10-15 00:00:00.000000 UTC,4580834090943463925.google_ads,16.01,-6046553957937071741,52.0,6299.0
2021-10-14 00:00:00.000000 UTC,4580834090943463925.google_ads,0.99,-6046553957937071741,4.0,1031.0
2021-10-22 00:00:00.000000 UTC,4580834090943463925.google_ads,4.41,-6046553957937071741,35.0,3511.0
2021-10-24 00:00:00.000000 UTC,4580834090943463925.google_ads,4.74,-6046553957937071741,32.0,4137.0
2021-10-20 00:00:00.000000 UTC,4580834090943463925.google_ads,11.66,-6046553957937071741,54.0,7422.0
2021-10-13 00:00:00.000000 UTC,4580834090943463925.google_ads,12.02,-6046553957937071741,62.0,8981.0
2021-10-29 00:00:00.000000 UTC,4580834090943463925.google_ads,12.04,-6046553957937071741,58.0,7999.0
2021-10-03 00:00:00.000000 UTC,4580834090943463925.google_ads,5.42,-6046553957937071741,24.0,3037.0
2021-10-27 00:00:00.000000 UTC,4580834090943463925.google_ads,8.54,-6046553957937071741,48.0,6882.0
2021-10-26 00:00:00.000000 UTC,4580834090943463925.google_ads,12.51,-6046553957937071741,56.0,5315.0
2021-10-08 00:00:00.000000 UTC,4580834090943463925.google_ads,13.13,-6046553957937071741,46.0,4866.0
2021-10-30 00:00:00.000000 UTC,4580834090943463925.google_ads,11.05,-6046553957937071741,66.0,7732.0
2021-10-09 00:00:00.000000 UTC,4580834090943463925.google_ads,11.91,-6046553957937071741,35.0,4264.0
2021-10-12 00:00:00.000000 UTC,4580834090943463925.google_ads,11.32,-6046553957937071741,41.0,5118.0
2021-10-16 00:00:00.000000 UTC,4580834090943463925.google_ads,5.24,-7465575227209255675,12.0,2203.0
2021-10-24 00:00:00.000000 UTC,4580834090943463925.google_ads,4.42,-7465575227209255675,18.0,3074.0
2021-10-09 00:00:00.000000 UTC,4580834090943463925.google_ads,10.94,-7465575227209255675,17.0,2974.0
2021-10-26 00:00:00.000000 UTC,4580834090943463925.google_ads,19.8,-7465575227209255675,53.0,6003.0
2021-10-18 00:00:00.000000 UTC,4580834090943463925.google_ads,18.345722,-7465575227209255675,42.0,4868.0
2021-10-14 00:00:00.000000 UTC,4580834090943463925.google_ads,0.86,-7465575227209255675,5.0,853.0
2021-10-21 00:00:00.000000 UTC,4580834090943463925.google_ads,16.717336,-7465575227209255675,48.0,3925.0
2021-10-19 00:00:00.000000 UTC,4580834090943463925.google_ads,12.637449,-7465575227209255675,33.0,4243.0
2021-10-06 00:00:00.000000 UTC,4580834090943463925.google_ads,6.87,-7465575227209255675,18.0,2626.0
2021-10-25 00:00:00.000000 UTC,4580834090943463925.google_ads,16.11,-7465575227209255675,47.0,5036.0
2021-10-11 00:00:00.000000 UTC,4580834090943463925.google_ads,14.28,-7465575227209255675,25.0,2091.0
2021-10-01 00:00:00.000000 UTC,4580834090943463925.google_ads,1.7,-7465575227209255675,11.0,1192.0
2021-10-07 00:00:00.000000 UTC,4580834090943463925.google_ads,2.03,-7465575227209255675,9.0,1546.0
2021-10-05 00:00:00.000000 UTC,4580834090943463925.google_ads,5.58,-7465575227209255675,9.0,1230.0
2021-10-03 00:00:00.000000 UTC,4580834090943463925.google_ads,1.28,-7465575227209255675,10.0,1195.0
2021-10-23 00:00:00.000000 UTC,4580834090943463925.google_ads,6.48,-7465575227209255675,24.0,2881.0
2021-10-27 00:00:00.000000 UTC,4580834090943463925.google_ads,15.461648,-7465575227209255675,55.0,6074.0
2021-10-08 00:00:00.000000 UTC,4580834090943463925.google_ads,5.87,-7465575227209255675,13.0,1632.0
2021-10-29 00:00:00.000000 UTC,4580834090943463925.google_ads,10.98,-7465575227209255675,43.0,4650.0
2021-10-11 00:00:00.000000 UTC,4580834090943463925.google_ads,14.91,-7732244873155140608,36.0,479.0
2021-10-14 00:00:00.000000 UTC,4580834090943463925.google_ads,12.96,-7732244873155140608,31.0,297.0
2021-10-06 00:00:00.000000 UTC,4580834090943463925.google_ads,6.55,-7732244873155140608,14.0,141.0
2021-10-15 00:00:00.000000 UTC,4580834090943463925.google_ads,2.36,-7732244873155140608,7.0,99.0
2021-10-07 00:00:00.000000 UTC,4580834090943463925.google_ads,2.69,-7732244873155140608,10.0,128.0
2021-10-12 00:00:00.000000 UTC,4580834090943463925.google_ads,14.39,-7732244873155140608,25.0,380.0
2021-10-10 00:00:00.000000 UTC,4580834090943463925.google_ads,8.86,-7732244873155140608,22.0,363.0
2021-10-03 00:00:00.000000 UTC,4580834090943463925.google_ads,10.41,-7732244873155140608,11.0,92.0
2021-10-01 00:00:00.000000 UTC,4580834090943463925.google_ads,19.99,-7732244873155140608,15.0,107.0
2021-10-02 00:00:00.000000 UTC,4580834090943463925.google_ads,11.02,-7732244873155140608,8.0,80.0
2021-10-04 00:00:00.000000 UTC,4580834090943463925.google_ads,10.29,-7732244873155140608,7.0,65.0
2021-10-08 00:00:00.000000 UTC,4580834090943463925.google_ads,2.75,-7732244873155140608,8.0,122.0
2021-10-05 00:00:00.000000 UTC,4580834090943463925.google_ads,10.57,-7732244873155140608,10.0,93.0
2021-10-09 00:00:00.000000 UTC,4580834090943463925.google_ads,8.48,-7732244873155140608,23.0,194.0
2021-10-11 00:00:00.000000 UTC,4580834090943463925.google_ads,11.82,-7511746212713112061,21.0,285.0
2021-10-07 00:00:00.000000 UTC,4580834090943463925.google_ads,10.41,-7511746212713112061,23.0,386.0
2021-10-02 00:00:00.000000 UTC,4580834090943463925.google_ads,9.25,-7511746212713112061,20.0,328.0
2021-10-12 00:00:00.000000 UTC,4580834090943463925.google_ads,8.47,-7511746212713112061,16.0,270.0
2021-10-14 00:00:00.000000 UTC,4580834090943463925.google_ads,15.2,-7511746212713112061,33.0,479.0
2021-10-15 00:00:00.000000 UTC,4580834090943463925.google_ads,2.49,-7511746212713112061,5.0,49.0
2021-10-04 00:00:00.000000 UTC,4580834090943463925.google_ads,8.22,-7511746212713112061,20.0,419.0
2021-10-10 00:00:00.000000 UTC,4580834090943463925.google_ads,7.24,-7511746212713112061,8.0,70.0
2021-10-01 00:00:00.000000 UTC,4580834090943463925.google_ads,13.21,-7511746212713112061,28.0,339.0
2021-10-09 00:00:00.000000 UTC,4580834090943463925.google_ads,8.73,-7511746212713112061,18.0,249.0
2021-10-16 00:00:00.000000 UTC,4580834090943463925.google_ads,0.0,-7511746212713112061,0.0,0.0
2021-10-05 00:00:00.000000 UTC,4580834090943463925.google_ads,8.72,-7511746212713112061,22.0,454.0
2021-10-03 00:00:00.000000 UTC,4580834090943463925.google_ads,4.7,-7511746212713112061,13.0,212.0
2021-10-08 00:00:00.000000 UTC,4580834090943463925.google_ads,11.12,-7511746212713112061,18.0,422.0
2021-10-20 00:00:00.000000 UTC,4580834090943463925.google_ads,15.01,1886376307672751723,26.0,255.0
2021-10-09 00:00:00.000000 UTC,4580834090943463925.google_ads,8.67,1886376307672751723,21.0,96.0
2021-10-17 00:00:00.000000 UTC,4580834090943463925.google_ads,0.94,1886376307672751723,8.0,57.0
2021-10-13 00:00:00.000000 UTC,4580834090943463925.google_ads,6.87,1886376307672751723,22.0,125.0
